annotation_id,Song name,Article title,LLM,RK,MT,GB,Majority
240,For No One,"Giving a voice to those who don't have one: montaigne and ranciere, for educational and philosophical emancipation",No,No,No,No,No
241,For No One,EDITORIAL: Good governance and regulation for humanity and no one is left behind in a turbulent situation,No,No,No,No,No
242,I Feel Fine,"Ask the doctors. Five years after I had a bypass operation, I developed chest pains, and my doctor implanted a stent that wasn't coated with any drug. After two months, the chest pain returned, and I was given radiation treatment. Now after a year, I still feel fine. Is radiation a long-term preventive treatment?",No,No,No,No,No
243,Baby's in Black,"Brenda's Got a Baby: Black Single Motherhood and Street Life as a Site of Resilience in Wilmington, Delaware",No,No,No,No,No
244,With a Little Help from My Friends,I get by with a little help from my cyber-friends: Sharing stories of good and bad times on the Web,Yes,Yes,Yes,Yes,Yes
245,Get Back,How you get shot in the back: A systematical study about cryptojacking in the real world,No,No,No,No,No
246,Love You To,"Transcatheter Aortic Valve Replacement for Native Aortic Regurgitation: If You Can't Be With the Valve You Love, Love the Valve You're With",Yes,No,No,No,No
247,Yes It Is,"Do fund managers in the Chinese mutual fund market deliver positive risk-adjusted returns? Yes, but it is mainly observed for local fund managers",No,No,No,No,No
248,Get Back,Advice to athletes with back pain - Get active! Seriously?,No,No,No,No,No
249,"Here, There and Everywhere",Teach once and use everywhere - Building AI assistant eco-skills via user instruction and demonstration,No,No,No,No,No
250,I Need You,"i May Need You, Peter, but You Sure as Hell Need Me Too: Political Marriages in the Good Wife and beyond",Yes,No,No,No,No
251,All You Need Is Love,All you need is political love? Assessing the effects of partisan favouritism in Croatia's public procurement,Yes,Yes,Yes,Yes,Yes
252,All You Need Is Love,All You Need Is a Mir-acle: The Role of Nontranslated RNAs in the Suppression of B Cell Chronic Lymphocytic Leukemia,Yes,Yes,Yes,Yes,Yes
253,All You Need Is Love,All You Need is Cable TV?,Yes,Yes,Yes,Yes,Yes
254,With a Little Help from My Friends,Social surrogate use in those exposed to trauma: I get by with a little help from my (fictional) friends,Yes,Yes,Yes,Yes,Yes
255,Hold Me Tight,"Hold me, but not too tight-endothelial cell-cell junctions in angiogenesis",Yes,No,No,Yes,No
256,She Said She Said,She said yes! She said yes! She said yes!,Yes,No,No,No,No
257,"Hello, Goodbye",Etomidate and its derivatives: time to say goodbye? You say goodbye and I say hello. Response to Br J Anaesth 2025; 134: 11-3,Yes,Yes,Yes,Yes,Yes
258,With a Little Help from My Friends,Noninvasive ventilation in unplanned endotracheal extubation: Just a little help from my friend?,Yes,Yes,Yes,Yes,Yes
259,"Long, Long, Long",Time series analysis of Sentinel 1 A SAR data to retrieve annual rice area maps and long-term dynamics of start of season,No,No,No,No,No
260,Love You To,She loves the way you lie: Size-related self-concept and gender in vanity sizing,Yes,No,No,No,No
261,Love You To,I hate you. I love you. I'm sorry. I miss you.: Understanding Online Grief Expression Through Suicide Bereavement Letter-Writing Practices,Yes,No,No,No,No
262,From Me to You,Temporary exhibition: Draw me a map of what you won't see,Yes,No,No,No,No
263,I'll Get You,You have to be ill to get better.,No,No,No,No,No
264,Octopus's Garden,A small octopus is our garden pond? Hydra,Yes,No,No,No,No
265,The Inner Light,"Inner Light, Eternal Darkness",Yes,No,Yes,No,No
266,In My Life,I Don't Want my Job to Take over my Life: Psychological Self-Care Perspectives of Early-Career Social Workers in the Field of Migration in Turkey,No,No,No,No,No
267,For No One,"Our magazine, or, why does no-one read us?",No,No,No,No,No
268,With a Little Help from My Friends,Teaching on the web: With a little help from my pedagogical friends,Yes,Yes,Yes,Yes,Yes
269,"Long, Long, Long",A hyper-activatable CAMK2A variant associated with intellectual disability causes exaggerated long-term potentiation and learning impairments,No,No,No,No,No
270,For No One,No one has ever asked me and I'm grateful that you have men's experiences of their partner's female sexual pain,No,No,No,No,No
271,"Hello, Goodbye","You say goodbye, I say hello",Yes,Yes,Yes,Yes,Yes
272,"Hello, Goodbye","You say goodbye, and I say hello!",Yes,Yes,Yes,Yes,Yes
273,Ask Me Why,"Ask the doctor. I tried taking niacin to increase my HDL but didn't like the flushing it caused. A friend told me about no-flush niacin, which works like a charm. Why not tell your readers about it?",No,No,No,No,No
274,The Long and Winding Road,The Conceptual Framework-A 'Long and Winding Road'<sup>*</sup> ...,No,Yes,Yes,Yes,Yes
275,"Long, Long, Long",Prognostic impact of albumin-bilirubin score in predicting the long-term survival of distal cholangiocarcinoma after radical surgery,No,No,No,No,No
276,She Said She Said,"Originalism, vintage or nouveau: ""He said, she said"" law",No,No,No,No,No
277,All You Need Is Love,Knowlab's Submission to L+M Shared Task: All you need is continued pretraining of chemistry texts even for molecule captioning,No,Yes,Yes,Yes,Yes
278,"Hello, Goodbye",You Say Goodbye and I Say Hello,Yes,Yes,Yes,Yes,Yes
279,Getting Better,Getting by better with help from my friends -social capital and its contribution to lives of Irish people with intellectual disabilities,Yes,No,Yes,Yes,Yes
280,Good Morning Good Morning,"'Good Morning Fitfam': Top posts, hashtags and gender display on Instagram",No,No,No,No,No
281,"Here, There and Everywhere",Chemistry is not everywhere,No,No,No,No,No
282,She Said She Said,"Destroy, she said: Elfriede Jelinek",Yes,No,No,No,No
283,This Boy,A large congenital bladder diverticulum with crossed fused renal ectopia in an 11-year-old boy: A case report from Ethiopia,No,No,No,No,No
284,The Night Before,"Diet of the Dattatreya night frog Nyctibatrachus dattatreyaensis from the central Western Ghats, India",No,No,No,No,No
285,For No One,"I felt like no one was walking away. The extended effects of college education in prison. Narratives, capitals and desistance from crime",No,No,No,No,No
286,Love You To,Dress up and we love you an autoethnographic exploration of queer performance club Bar Wotever,No,No,No,No,No
287,"Hello, Goodbye","Goodbye Adhesives, Hello Thermal Direct Joining",Yes,No,No,Yes,No
288,With a Little Help from My Friends,With a little help from my (random) friends: Success and failure in post-business school entrepreneurship,Yes,Yes,Yes,Yes,Yes
289,Any Time at All,"Efficacy of preemptive multimodal analgesia initiated at various time points before total knee arthroplasty: a prospective, double-blind randomized controlled trial",No,No,No,No,No
290,You Can't Do That,"Anything you can do, I can do better (No you can't)...",Yes,No,No,No,No
291,Magical Mystery Tour,"Francis Underwood's Magical Political Mystery Tour Is Dying to Take You Away; Dying to Take You Away, Take You Today",Yes,Yes,Yes,Yes,Yes
292,Cry Baby Cry,"It can cry, it can speak, it can pee: Modality values and playing affordances in contemporary baby dolls' discourse",No,No,No,No,No
293,Baby's in Black,Is it too late baby? Pinpointing the emergence of a black-white test score gap in infancy,Yes,No,No,No,No
294,This Boy,"Psychosocial Adjustment of Adolescent Boys from Inner-City, Low-Income, Single-Mother Families: Evaluation of a Youth Program",No,No,No,No,No
295,Please Please Me,MAMA PAPA PLEASE HEAR ME: THE PARTICIPATION OF CHILDREN IN CHILD CUSTODY MEDIATION IN THE SYARIAH COURTS OF MALAYSIA,Yes,No,No,No,No
296,Good Morning Good Morning,"Ask the Doctor. I take a beta blocker called atenolol and an ACE inhibitor every morning for my hypertension. When I get up in the morning, my blood pressure is high, but falls as the day goes on. It seems like it s always pretty good by the time I see my doctor, so she thinks everything is fine. Still, the high numbers worry me. Should I be on another drug?",No,No,No,No,No
297,She Said She Said,"Destroy, she said: Cross interviews with Dominique Fury, Gael Peltier and Michael Landy",Yes,No,No,No,No
298,"Hello, Goodbye",Say hello and wave goodbye,Yes,No,No,Yes,No
299,In My Life,"The program ""my house, my life"" and socio-spatial segregation: The role of the state capital and developer in construction of Brazilian urban",No,No,No,No,No
300,Everybody's Got Something to Hide Except Me and My Monkey,Everybody's got something to hide except me and my patented monkey: patentability of cloned organisms.,Yes,Yes,Yes,Yes,Yes
